"firstname","middlename","lastname","email","group_name"
"Максимилиан","Осипович","Бобылёв","grimes@gmail.com","Транспортный_отдел"
"Лаврентий","Даниилович","Третьяков","spencer@ukr.net","Транспортный_отдел"
"Нателла","Юрийовна","Мясникова","emard@yandex.uk","Отдел_Логистики"
"Аарон","Устинович","Колобов","schuster@yandex.uk","Бухгалтерия"
"Фархад","Тельнанович","Бобылёв","littel@gmail.com","Транспортный_отдел"
"Евстафий","Жанович","Дмитриев","wilkinson@test.com","Отдел_Кадров"
"Павлина","Вадимовна","Князева","howe@list.ua","Бухгалтерия"
"Иакинф","Игнатович","Власов","kemmer@ukr.net","Отдел_Логистики"
"Мадина","Акакийовна","Герасимова","oreilly@test.com","Отдел_Кадров"
"Евграф","Болеславович","Веселов","abshire@yandex.uk","Бухгалтерия"
